SignID,Freq,InitBias,FinalBias
ka,0.0133650565356427,0.4670864338866629,0.13737836290784203
*56,0.0007497284147069174,0.6224489795918368,0.030612244897959183
(so),0.0006196734856251052,0.04938271604938271,0.6049382716049383
",",0.23799286992977034,1.0,1.0
e,0.02491699435408602,0.7101627264353699,0.11421553576911268
u,0.018919167036430682,0.14557217953902143,0.3950667205822887
(ko),0.0011704943617363097,0.6143790849673203,0.13725490196078433
ro,0.03745581957556191,0.022263071895424837,0.7136437908496732
wa,0.011597839558119253,0.25857519788918204,0.2638522427440633
ti,0.01249292348179996,0.25903245560318433,0.05756276791181874
jo,0.031167281239958995,0.014727540500736377,0.8708885616102111
pu,0.004131156570834035,0.7833333333333333,0.037037037037037035
na,0.013709319583212204,0.03794642857142857,0.40792410714285715
si,0.010794559113790413,0.15308291991495393,0.18143160878809356
(wo),0.0009486359533026302,0.23387096774193547,0.5161290322580645
ne,0.009960677509677617,0.1620583717357911,0.19047619047619047
ta,0.021497314748228958,0.13843416370106762,0.38469750889679716
to,0.02537601175084536,0.21073258968947844,0.5113053964425686
so,0.010473246936058877,0.030679327976625273,0.5259313367421475
di,0.002930061049313769,0.5404699738903395,0.05221932114882506
wi,0.00686996037149808,0.30957683741648107,0.051224944320712694
(we),0.0005278700062732377,0.4782608695652174,0.3188405797101449
wo,0.02454978043667855,0.19725771268307885,0.6400747896540978
nu,0.0022415349541747634,0.051194539249146756,0.23890784982935154
(a),0.0014459047997919122,0.8359788359788359,0.13227513227513227
(ra),0.0009945376929785638,0.43846153846153846,0.2076923076923077
[.],7.650289945988952e-05,1.0,0.0
no,0.01242407087228606,0.03201970443349754,0.6354679802955665
],0.0072677754486895054,0.9926315789473684,0.007368421052631579
ko,0.02577382682803678,0.39715048975957257,0.2466607301869991
pe,0.007719142555502854,0.5530227948463825,0.022794846382556987
re,0.016754134981715806,0.1461187214611872,0.1045662100456621
ri,0.012508224061691938,0.10275229357798166,0.048318042813455656
*19,3.060115978395581e-05,0.0,0.25
ke,0.025330110011169422,0.2156448202959831,0.17396556931440652
qe,0.006671052832902367,0.2993119266055046,0.5642201834862385
[,0.0070076655905258805,0.0054585152838427945,0.9945414847161572
se,0.004567223097755405,0.17587939698492464,0.09045226130653267
pa,0.024435026087488716,0.8102692548528491,0.03663118346900438
ja,0.01864375659837508,0.030365203118588428,0.5728354534263439
ra2,0.0012240463913582324,0.0,0.725
ra,0.023348684915158284,0.21100917431192662,0.18905635648754915
su,0.001790167847361415,0.6025641025641025,0.01282051282051282
a,0.02980552962957296,0.9537987679671458,0.025410677618069814
(wa),0.0005355202962192267,0.22857142857142856,0.34285714285714286
ma,0.012959591168505286,0.5997638724911453,0.05962219598583235
pi,0.013847024802240005,0.18176795580110497,0.567403314917127
qo,0.0044907201982955156,0.19591141396933562,0.18739352640545145
i,0.007826246614746698,0.4125122189638319,0.20039100684261973
do,0.0070076655905258805,0.5262008733624454,0.1091703056768559
me,0.010603301865140689,0.37012987012987014,0.07647907647907648
zo,0.0026929020609881113,0.16761363636363635,0.375
mi,0.004651376287161283,0.17763157894736842,0.05263157894736842
ni,0.005508208761112046,0.08194444444444444,0.05
te,0.017182551218691187,0.1981300089047195,0.25823686553873554
o,0.022981470997750816,0.5186418109187749,0.23501997336884153
(pa),0.0013617516103860336,0.7134831460674157,0.06741573033707865
du,0.001468855669629879,0.328125,0.19270833333333334
ru,0.0057912694891136375,0.2668428005284016,0.036988110964332896
ki,0.006655752253010389,0.2747126436781609,0.04597701149425287
we,0.020143213427788912,0.27876946448917583,0.38511203949867073
sa,0.005508208761112046,0.26944444444444443,0.19305555555555556
qi,0.001285248710926144,0.34523809523809523,0.03571428571428571
(ja),0.0008491821840047737,0.17117117117117117,0.6036036036036037
(qa),0.00016830637881175696,0.8181818181818182,0.13636363636363635
(te),0.00046666768670532616,0.3114754098360656,0.5081967213114754
(de),0.00020655782854170173,0.18518518518518517,0.5925925925925926
ku,0.005492908181220068,0.7409470752089137,0.06406685236768803
da,0.012018605505148645,0.44621260343730107,0.022278803309993635
qa,0.0036338877243447527,0.43157894736842106,0.18105263157894738
(jo),0.0015683094389277355,0.04390243902439024,0.8780487804878049
(u),0.0010251388527625198,0.19402985074626866,0.6268656716417911
(zo),0.00019125724864972382,0.08,0.88
(sa),0.00025245956821763545,0.3939393939393939,0.3939393939393939
(me),0.0002907110179475802,0.5,0.3157894736842105
tu,0.00416940802056398,0.43853211009174314,0.07706422018348624
(se),0.00019125724864972382,0.28,0.2
(to),0.0014841562495218569,0.30927835051546393,0.5824742268041238
de,0.005615312820355892,0.17438692098092642,0.5572207084468664
(wi),0.00042076594702939243,0.6727272727272727,0.16363636363636364
(da),0.0010021879829245528,0.7022900763358778,0.061068702290076333
po,0.00833116575118197,0.6069788797061524,0.0780532598714417
(si),0.0009333353734106523,0.39344262295081966,0.45081967213114754
(e),0.0008797833437887296,0.6869565217391305,0.23478260869565218
(ta),0.0012546475511421883,0.27439024390243905,0.5609756097560976
(ke),0.0011704943617363097,0.43790849673202614,0.1437908496732026
(ka),0.0003136618877855471,0.6341463414634146,0.21951219512195122
(i),0.0006349740655170831,0.4578313253012048,0.37349397590361444
mo,0.0069770644307419255,0.07675438596491228,0.7368421052631579
(ti),0.0005202197163272488,0.29411764705882354,0.10294117647058823
*79,9.180347935186743e-05,0.0,0.8333333333333334
(ma),0.0002754104380556023,0.5,0.3611111111111111
je,0.0020732285753630062,0.01845018450184502,0.0996309963099631
*18,8.415318940587848e-05,0.45454545454545453,0.36363636363636365
*49,7.650289945988952e-05,0.2,0.0
(qi),6.120231956791162e-05,0.375,0.0
*65,0.00024480927827164647,0.0,0.34375
(du),0.0001453555089737901,0.7368421052631579,0.15789473684210525
ze,0.0008032804443288401,0.24761904761904763,0.13333333333333333
a2,0.0035114830852089295,0.43790849673202614,0.30501089324618735
mu,0.0006961763850849948,0.6923076923076923,0.0
(tu),0.00024480927827164647,0.90625,0.03125
(no),0.00043606652692137034,0.543859649122807,0.2631578947368421
(o),0.0014841562495218569,0.31958762886597936,0.4175257731958763
*22,0.0008874336337347185,0.10344827586206896,0.05172413793103448
(pe),0.0002907110179475802,0.8421052631578947,0.13157894736842105
*82,0.001132242912006365,0.14864864864864866,0.777027027027027
ro2,0.0007114769649769726,0.0,0.6344086021505376
dwo,0.0001300549290818122,0.29411764705882354,0.058823529411764705
(ta,6.120231956791162e-05,0.0,1.0
au,0.0008185810242208179,1.0,0.0
(na),0.0006961763850849948,0.07692307692307693,0.6153846153846154
(*56),0.00025245956821763545,0.9090909090909091,0.06060606060606061
(ro),0.002784705540339979,0.2087912087912088,0.6456043956043956
(ku),0.0002295086983796686,0.8666666666666667,0.06666666666666667
(ru),0.000328962467677525,0.5116279069767442,0.18604651162790697
(po),0.00029836130789356917,0.48717948717948717,0.358974358974359
(je),0.00018360695870373487,0.125,0.3333333333333333
(ki),0.0004972688464892819,0.4307692307692308,0.36923076923076925
pu2,0.0007191272549229616,0.22340425531914893,0.0851063829787234
a3,0.0014000030601159783,0.9726775956284153,0.0
nwa,0.0002907110179475802,0.05263157894736842,0.18421052631578946
(re),0.0008721330538427407,0.40350877192982454,0.18421052631578946
za,0.0011934452315742767,0.10256410256410256,0.48717948717948717
(mi),0.00023715898832565754,0.4838709677419355,0.22580645161290322
dwe,0.000160656088865768,0.0,0.42857142857142855
(ne),0.0003595636274614808,0.19148936170212766,0.3191489361702128
(nu),0.00012240463913582323,0.1875,0.3125
(a2),5.355202962192267e-05,0.0,0.5714285714285714
(ri),0.0005278700062732377,0.17391304347826086,0.463768115942029
(pi),0.0010021879829245528,0.26717557251908397,0.4961832061068702
(do),0.000328962467677525,0.6046511627906976,0.18604651162790697
(pu),0.0001453555089737901,0.6842105263157895,0.21052631578947367
(ni),0.0004054653671374145,0.20754716981132076,0.18867924528301888
(di),6.885260951390057e-05,0.6666666666666666,0.0
(mo),0.0004054653671374145,0.05660377358490566,0.9056603773584906
*86,2.2950869837966858e-05,0.0,0.3333333333333333
(qe),0.0002601098581636244,0.20588235294117646,0.5588235294117647
*34,0.0002295086983796686,0.7333333333333333,0.0
(au),4.5901739675933716e-05,1.0,0.0
(qo),0.00013770521902780114,0.1111111111111111,0.3333333333333333
(nwa),1.5300579891977904e-05,0.0,0.0
[[tu,7.650289945988952e-06,1.0,0.0
ro]],0.00016830637881175696,0.0,1.0
(*49),1.5300579891977904e-05,1.0,0.0
*83,0.0003136618877855471,0.0975609756097561,0.07317073170731707
pte,0.0005967226157871383,0.24358974358974358,0.48717948717948717
(su),6.120231956791162e-05,0.625,0.25
(*22),7.650289945988952e-06,0.0,0.0
*47,0.0001147543491898343,1.0,0.0
(a3),3.825144972994476e-05,0.8,0.0
(za),8.415318940587848e-05,0.45454545454545453,0.5454545454545454
[[e,3.060115978395581e-05,1.0,0.0
ta]],7.650289945988952e-06,0.0,1.0
*64,0.00024480927827164647,0.09375,0.0
(pte),7.650289945988952e-06,1.0,0.0
ja[],0.00036721391740746973,0.0,1.0
(dwe),7.650289945988952e-06,0.0,0.0
twe,4.5901739675933716e-05,0.0,0.0
(twe),7.650289945988952e-06,1.0,0.0
(ro2),1.5300579891977904e-05,0.0,1.0
(pu2),3.825144972994476e-05,0.2,0.0
to[],4.5901739675933716e-05,0.0,1.0
QE,1.5300579891977904e-05,1.0,0.0
RO2,1.5300579891977904e-05,0.0,1.0
E,6.885260951390057e-05,0.8888888888888888,0.0
PO,2.2950869837966858e-05,0.0,0.3333333333333333
(MI),1.5300579891977904e-05,0.0,0.0
TA,3.060115978395581e-05,0.0,0.75
PI,3.060115978395581e-05,0.0,0.0
